iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 21521; 1088; 863; 0; 21271; 7
0; r; 27286; 1088; 897; 35; 10679; 7
0; r; 40099; 1088; 1017; 16; 33058; 1
0; r; 42021; 1088; 481; 45; 20809; 5
0; r; 45225; 1088; 453; 47; 22711; 5
0; r; 48429; 1088; 1020; 59; 17723; 1
0; r; 63165; 1088; 620; 17; 55889; 3
0; r; 68930; 1088; 936; 29; 55109; 5
0; r; 72775; 1088; 700; 34; 57814; 7
0; r; 74698; 1088; 781; 18; 67285; 4
0; r; 86874; 1088; 791; 8; 83650; 2
0; r; 93923; 1088; 1055; 10; 88801; 1
0; r; 94564; 1088; 803; 1; 94111; 5
0; r; 95205; 1088; 1015; 55; 69311; 2
0; r; 95846; 1088; 1003; 42; 75691; 5
0; r; 106739; 1088; 752; 50; 81948; 2
0; r; 111225; 1088; 327; 11; 105843; 5
0; r; 115710; 1088; 1063; 21; 106661; 5
0; r; 123399; 1088; 641; 52; 98278; 6
0; r; 128527; 1088; 835; 48; 105813; 4
0; r; 131731; 1088; 206; 12; 126293; 8
0; r; 134294; 1088; 773; 32; 119539; 9
0; r; 135576; 1088; 857; 43; 115389; 2
0; r; 147751; 1088; 588; 30; 133256; 4
0; r; 161209; 1088; 424; 40; 141429; 5
0; r; 162490; 1088; 1065; 13; 156372; 7
0; r; 590066; 1088; 581; 23; 580116; 6
0; r; 605446; 1088; 886; 54; 579797; 3
0; r; 611856; 1088; 149; 65; 180671; 9
0; r; 619545; 1088; 564; 37; 602515; 10
0; r; 624032; 1088; 1045; 53; 598824; 9
0; r; 629799; 1088; 441; 51; 604714; 7
0; r; 631080; 1088; 913; 64; 205950; 12
0; r; 637488; 1088; 434; 25; 626062; 11
0; r; 642614; 1088; 394; 28; 630249; 6
0; r; 650943; 1088; 579; 66; 218556; 12
0; r; 657352; 1088; 799; 5; 655645; 12
0; r; 664401; 1088; 97; 4; 662978; 9
0; r; 690678; 1088; 556; 56; 663115; 5
0; r; 693883; 1088; 100; 41; 674014; 15
0; r; 705416; 1088; 488; 22; 696118; 12
0; r; 709261; 1088; 94; 49; 685546; 17
0; r; 713747; 1088; 252; 26; 702287; 15
0; r; 732331; 1088; 370; 19; 723812; 13
0; r; 734894; 1088; 499; 57; 706911; 9
0; r; 740661; 1088; 422; 15; 734120; 7
0; r; 748350; 1088; 43; 44; 727312; 17
0; r; 758603; 1088; 276; 38; 740469; 15
0; r; 766293; 1088; 51; 14; 760032; 12
0; r; 771418; 1088; 238; 3; 770387; 12
0; r; 774622; 1088; 681; 33; 759756; 9
0; r; 778467; 1088; 286; 36; 761829; 14
0; r; 804097; 1088; 689; 9; 800569; 16
0; r; 806659; 1088; 496; 24; 796198; 12
0; r; 809864; 1088; 679; 58; 781537; 17
0; r; 810505; 1088; 168; 46; 788677; 15
0; r; 822041; 1088; 309; 31; 807330; 12
0; r; 837416; 1088; 554; 88; 22620; 5
0; r; 842542; 1088; 244; 7; 840141; 13
0; r; 853435; 1088; 3; 20; 844813; 15
0; r; 870736; 1088; 391; 71; 67827; 8
0; r; 880988; 1088; 551; 110; 49616; 4
0; r; 882270; 1088; 123; 62; 849791; 15
0; r; 890600; 1088; 1017; 76; 83559; 1
0; r; 900851; 1088; 644; 95; 81367; 5
0; r; 905337; 1088; 310; 85; 94501; 9
0; r; 905978; 1088; 821; 113; 73574; 2
0; r; 914949; 1088; 912; 73; 110923; 3
0; r; 923921; 1088; 983; 86; 112879; 2
0; r; 927125; 1088; 1032; 102; 99251; 9
0; r; 932892; 1088; 681; 89; 118026; 4
0; r; 946351; 1088; 555; 70; 144691; 5
0; r; 956602; 1088; 561; 72; 153684; 9
0; r; 957243; 1088; 364; 103; 128736; 12
0; r; 968779; 1088; 134; 78; 161430; 13
0; r; 1377108; 1088; 459; 60; 1346241; 22
0; r; 1378390; 1088; 872; 109; 547045; 7
0; r; 1389286; 1088; 68; 81; 579572; 14
0; r; 1405309; 1088; 608; 93; 587235; 8
0; r; 1411078; 1088; 106; 84; 600502; 11
0; r; 1423896; 1088; 92; 77; 616791; 13
0; r; 1425178; 1088; 966; 27; 1413102; 27
0; r; 1436074; 1088; 957; 92; 620063; 11
0; r; 1464916; 1088; 140; 67; 664234; 15
0; r; 1478371; 1088; 61; 68; 677489; 9
0; r; 1498873; 1088; 1019; 112; 666788; 8
0; r; 1518098; 1088; 98; 90; 703132; 14
0; r; 1530914; 1088; 474; 98; 709069; 14
0; r; 1545653; 1088; 741; 101; 717921; 8
0; r; 1547576; 1088; 264; 80; 738662; 14
0; r; 1556549; 1088; 165; 91; 741406; 14
0; r; 1561675; 1088; 198; 82; 751820; 11
0; r; 1567444; 1088; 42; 96; 746502; 12
0; r; 1571289; 1088; 26; 87; 758248; 8
0; r; 1591157; 1088; 47; 108; 759831; 16
0; r; 1595643; 1088; 18; 100; 768379; 21
0; r; 1604614; 1088; 813; 94; 785646; 7
0; r; 1608459; 1088; 905; 97; 787321; 6
0; r; 1611662; 1088; 432; 105; 781542; 17
0; r; 1619995; 1088; 379; 99; 796257; 11
0; r; 1650757; 1088; 483; 104; 821857; 15
0; r; 1660373; 1088; 359; 83; 850361; 14
0; r; 1671271; 1088; 459; 107; 840404; 12
0; r; 1690505; 1088; 206; 75; 885067; 12
0; r; 1694996; 1088; 342; 79; 887403; 11
0; r; 2173287; 1088; 655; 106; 930320; 17
1; r; 19859; 1088; 1022; 49; 19858; 1
1; r; 32670; 1088; 870; 39; 32669; 6
