iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 8708; 1088; 653; 0; 8322; 3
0; r; 12549; 1088; 457; 2; 11130; 6
0; r; 31114; 1088; 310; 16; 21997; 7
0; r; 33675; 1088; 990; 12; 27537; 12
0; r; 44560; 1088; 790; 17; 34287; 2
0; r; 47121; 1088; 1006; 14; 39598; 17
0; r; 55445; 1088; 40; 5; 52161; 14
0; r; 67610; 1088; 577; 32; 38627; 8
0; r; 69531; 1088; 1071; 3; 67974; 16
0; r; 71452; 1088; 556; 36; 39607; 7
0; r; 73373; 1088; 8; 31; 44405; 12
0; r; 75934; 1088; 809; 1; 74535; 8
0; r; 79776; 1088; 411; 15; 71567; 8
0; r; 82977; 1088; 1052; 28; 57552; 1
0; r; 86178; 1088; 636; 23; 70101; 9
0; r; 93222; 1088; 184; 9; 89047; 12
0; r; 98344; 1088; 916; 21; 85002; 2
0; r; 101545; 1088; 878; 35; 71004; 5
0; r; 105388; 1088; 949; 39; 73015; 2
0; r; 109870; 1088; 847; 18; 98819; 9
0; r; 111791; 1088; 703; 25; 91187; 7
0; r; 114353; 1088; 540; 30; 87177; 8
0; r; 121397; 1088; 911; 13; 114740; 6
0; r; 127801; 1088; 571; 37; 95653; 7
0; r; 131643; 1088; 927; 33; 102365; 9
0; r; 145090; 1088; 79; 26; 123396; 11
0; r; 146370; 1088; 32; 38; 114027; 9
0; r; 149573; 1088; 535; 22; 134878; 11
0; r; 152776; 1088; 241; 8; 148823; 16
0; r; 153417; 1088; 23; 20; 140940; 10
0; r; 157261; 1088; 37; 6; 153747; 13
0; r; 159824; 1088; 274; 27; 136724; 10
0; r; 162387; 1088; 214; 40; 129714; 10
0; r; 168795; 1088; 120; 34; 138790; 15
0; r; 170077; 1088; 334; 4; 168349; 18
0; r; 637179; 1088; 765; 41; 78202; 19
0; r; 643588; 1088; 717; 24; 623594; 15
0; r; 729625; 1088; 431; 10; 568558; 34
0; r; 802946; 1088; 488; 42; 2573; 5
0; r; 813832; 1088; 1071; 45; 12275; 6
0; r; 820874; 1088; 916; 67; 7532; 2
0; r; 825356; 1088; 674; 55; 19190; 8
0; r; 832398; 1088; 889; 64; 20392; 1
0; r; 848405; 1088; 846; 51; 44972; 6
0; r; 849045; 1088; 819; 43; 48252; 4
0; r; 859289; 1088; 357; 89; 32173; 6
0; r; 866972; 1088; 408; 84; 41034; 6
0; r; 868253; 1088; 614; 98; 35887; 4
0; r; 896428; 1088; 668; 57; 88822; 9
0; r; 899630; 1088; 253; 63; 90182; 15
0; r; 903472; 1088; 247; 58; 95736; 9
0; r; 912437; 1088; 733; 61; 103210; 12
0; r; 926526; 1088; 642; 80; 102817; 6
0; r; 929728; 1088; 613; 81; 104702; 7
0; r; 933570; 1088; 389; 65; 120911; 13
0; r; 935491; 1088; 874; 75; 114931; 4
0; r; 939974; 1088; 485; 47; 137525; 14
0; r; 943816; 1088; 292; 92; 113145; 8
0; r; 944456; 1088; 373; 44; 143348; 9
0; r; 946378; 1088; 118; 76; 124400; 9
0; r; 957906; 1088; 372; 54; 152973; 13
0; r; 963030; 1088; 773; 95; 131079; 9
0; r; 963671; 1088; 403; 88; 136685; 13
0; r; 966232; 1088; 601; 74; 146679; 15
0; r; 970716; 1088; 526; 93; 139238; 10
0; r; 978402; 1088; 214; 99; 145729; 10
0; r; 979683; 1088; 137; 59; 170719; 13
0; r; 984167; 1088; 66; 53; 179728; 19
0; r; 991212; 1088; 510; 69; 176531; 14
0; r; 993775; 1088; 635; 85; 167697; 7
0; r; 994416; 1088; 41; 77; 172391; 21
0; r; 1001463; 1088; 136; 66; 188616; 16
0; r; 1009794; 1088; 32; 97; 177451; 15
0; r; 1010435; 1088; 182; 86; 184274; 18
0; r; 1011717; 1088; 928; 60; 202704; 11
0; r; 1023256; 1088; 597; 73; 205339; 11
0; r; 1023897; 1088; 9; 56; 216309; 22
0; r; 1027103; 1088; 737; 96; 194867; 13
0; r; 1431203; 1088; 469; 83; 605613; 16
0; r; 1435046; 1088; 271; 72; 618081; 19
0; r; 1436327; 1088; 474; 71; 620545; 23
0; r; 1447215; 1088; 154; 91; 618005; 20
0; r; 1478605; 1088; 205; 94; 646908; 18
0; r; 1492060; 1088; 991; 79; 669418; 26
0; r; 1568313; 1088; 424; 62; 759014; 28
1; r; 2562; 1088; 657; 34; 2561; 3
1; r; 10885; 1088; 598; 32; 10884; 9
1; r; 12805; 1088; 676; 36; 12804; 5
1; r; 30092; 1088; 754; 40; 30091; 3
1; r; 39696; 1088; 119; 4; 39695; 11
1; r; 44178; 1088; 230; 10; 44177; 12
1; r; 46739; 1088; 404; 22; 46738; 9
1; r; 49940; 1088; 1014; 55; 49939; 4
1; r; 60184; 1088; 910; 49; 60183; 3
1; r; 64026; 1088; 395; 21; 64025; 5
1; r; 71069; 1088; 544; 30; 71068; 8
1; r; 75551; 1088; 797; 43; 75550; 11
1; r; 76832; 1088; 89; 3; 76831; 9
1; r; 88998; 1088; 267; 13; 88997; 13
1; r; 91560; 1088; 412; 23; 91559; 10
1; r; 92841; 1088; 503; 27; 92840; 12
1; r; 94122; 1088; 566; 31; 94121; 13
1; r; 97324; 1088; 966; 54; 97323; 10
1; r; 99885; 1088; 782; 42; 99884; 3
1; r; 122299; 1088; 522; 28; 122298; 5
1; r; 126141; 1088; 325; 17; 126140; 8
1; r; 133186; 1088; 160; 7; 133185; 6
1; r; 134467; 1088; 343; 19; 134466; 7
1; r; 138309; 1088; 811; 45; 138308; 9
1; r; 142792; 1088; 803; 44; 142791; 13
1; r; 144073; 1088; 925; 50; 144072; 10
1; r; 144713; 1088; 535; 29; 144712; 11
1; r; 145353; 1088; 636; 33; 145352; 11
1; r; 146634; 1088; 61; 1; 146633; 15
1; r; 151117; 1088; 1060; 59; 151116; 14
1; r; 157522; 1088; 467; 26; 157521; 17
1; r; 159443; 1088; 153; 5; 159442; 17
1; r; 162645; 1088; 231; 11; 162644; 14
1; r; 167129; 1088; 927; 52; 167128; 13
1; r; 170972; 1088; 944; 53; 170971; 9
1; r; 176736; 1088; 707; 38; 176735; 10
1; r; 177377; 1088; 662; 35; 177376; 13
1; r; 178658; 1088; 72; 2; 178657; 14
1; r; 183143; 1088; 178; 9; 183142; 15
1; r; 183784; 1088; 1023; 57; 183783; 14
1; r; 184425; 1088; 324; 16; 184424; 17
1; r; 185066; 1088; 304; 14; 185065; 15
1; r; 187628; 1088; 156; 6; 187627; 19
1; r; 190832; 1088; 322; 15; 190831; 16
1; r; 192114; 1088; 1048; 58; 192113; 7
1; r; 205570; 1088; 860; 47; 205569; 14
1; r; 220953; 1088; 849; 46; 220952; 8
1; r; 717775; 1088; 248; 12; 717774; 34
1; r; 726744; 1088; 166; 8; 726743; 34
1; r; 743409; 1088; 50; 0; 743408; 29
1; r; 757510; 1088; 689; 37; 757509; 28
1; r; 764561; 1088; 926; 51; 764560; 35
1; r; 810049; 1088; 359; 74; 10048; 5
1; r; 811970; 1088; 1047; 96; 11969; 2
1; r; 824135; 1088; 940; 91; 24134; 9
1; r; 826056; 1088; 902; 90; 26055; 10
1; r; 830537; 1088; 701; 88; 30536; 6
1; r; 836300; 1088; 697; 87; 36299; 10
1; r; 836940; 1088; 209; 69; 36939; 9
1; r; 840142; 1088; 259; 71; 40141; 9
1; r; 846545; 1088; 412; 77; 46544; 10
1; r; 850386; 1088; 1014; 94; 50385; 2
1; r; 858710; 1088; 1083; 98; 58709; 1
1; r; 861272; 1088; 657; 84; 61271; 4
1; r; 861912; 1088; 596; 82; 61911; 18
1; r; 863193; 1088; 464; 79; 63192; 9
1; r; 868315; 1088; 468; 80; 68314; 11
1; r; 871517; 1088; 1054; 97; 71516; 1
1; r; 873438; 1088; 500; 81; 73437; 9
1; r; 877920; 1088; 1027; 95; 77919; 13
1; r; 883683; 1088; 317; 73; 83682; 7
1; r; 888806; 1088; 27; 60; 88805; 9
1; r; 903534; 1088; 150; 67; 103533; 9
1; r; 910578; 1088; 94; 65; 110577; 10
1; r; 914421; 1088; 34; 61; 114420; 13
1; r; 915702; 1088; 675; 86; 115701; 8
1; r; 916342; 1088; 70; 63; 116341; 12
1; r; 916983; 1088; 371; 75; 116982; 13
1; r; 921466; 1088; 416; 78; 121465; 13
1; r; 922747; 1088; 997; 93; 122746; 7
1; r; 923388; 1088; 161; 68; 123387; 11
1; r; 930434; 1088; 407; 76; 130433; 8
1; r; 931715; 1088; 263; 72; 131714; 9
1; r; 935557; 1088; 121; 66; 135556; 19
1; r; 938120; 1088; 645; 83; 138119; 8
1; r; 943244; 1088; 709; 89; 143243; 15
1; r; 950935; 1088; 39; 62; 150934; 14
2; r; 3842; 1088; 989; 45; 3841; 1
2; r; 9604; 1088; 157; 8; 9603; 8
2; r; 17286; 1088; 1050; 47; 17285; 1
2; r; 24327; 1088; 951; 41; 24326; 1
2; r; 26888; 1088; 103; 3; 26887; 13
2; r; 30089; 1088; 595; 30; 30088; 8
2; r; 39694; 1088; 281; 14; 39693; 8
2; r; 43535; 1088; 591; 29; 43534; 8
2; r; 51219; 1088; 1064; 48; 51218; 11
2; r; 53139; 1088; 938; 40; 53138; 7
2; r; 59542; 1088; 1010; 46; 59541; 7
2; r; 60183; 1088; 727; 34; 60182; 15
2; r; 62104; 1088; 986; 44; 62103; 1
2; r; 64025; 1088; 122; 6; 64024; 11
2; r; 71709; 1088; 391; 17; 71708; 7
2; r; 73630; 1088; 843; 37; 73629; 3
2; r; 76191; 1088; 53; 1; 76190; 9
2; r; 92199; 1088; 581; 27; 92198; 11
2; r; 103724; 1088; 729; 35; 103723; 12
2; r; 111409; 1088; 964; 42; 111408; 12
2; r; 112690; 1088; 665; 33; 112689; 9
2; r; 114611; 1088; 203; 11; 114610; 12
2; r; 117173; 1088; 535; 23; 117172; 11
2; r; 119094; 1088; 488; 22; 119093; 4
2; r; 120375; 1088; 436; 21; 120374; 8
2; r; 125497; 1088; 146; 7; 125496; 11
2; r; 126778; 1088; 120; 5; 126777; 10
2; r; 130621; 1088; 178; 10; 130620; 9
2; r; 135104; 1088; 402; 19; 135103; 13
2; r; 139586; 1088; 110; 4; 139585; 10
2; r; 143429; 1088; 345; 16; 143428; 12
2; r; 147911; 1088; 229; 13; 147910; 10
2; r; 154956; 1088; 321; 15; 154955; 14
2; r; 159440; 1088; 50; 0; 159439; 11
2; r; 167767; 1088; 429; 20; 167766; 13
2; r; 171611; 1088; 632; 31; 171610; 11
2; r; 172251; 1088; 159; 9; 172250; 10
2; r; 633437; 1088; 558; 24; 633436; 21
2; r; 641125; 1088; 633; 32; 641124; 19
2; r; 656504; 1088; 574; 26; 656503; 20
2; r; 677013; 1088; 587; 28; 677012; 35
2; r; 800111; 1088; 989; 93; 110; 1
2; r; 818036; 1088; 159; 57; 18035; 9
2; r; 819957; 1088; 678; 83; 19956; 5
2; r; 829561; 1088; 981; 92; 29560; 5
2; r; 836604; 1088; 511; 75; 36603; 12
2; r; 839165; 1088; 799; 86; 39164; 9
2; r; 839805; 1088; 619; 80; 39804; 5
2; r; 841726; 1088; 458; 72; 41725; 6
2; r; 843007; 1088; 1018; 94; 43006; 1
2; r; 848769; 1088; 907; 89; 48768; 4
2; r; 860934; 1088; 135; 55; 60933; 15
2; r; 871821; 1088; 421; 67; 71820; 7
2; r; 874382; 1088; 908; 90; 74381; 4
2; r; 882066; 1088; 618; 79; 82065; 5
2; r; 883347; 1088; 144; 56; 83346; 13
2; r; 887189; 1088; 668; 82; 87188; 10
2; r; 887830; 1088; 174; 58; 87829; 13
2; r; 893593; 1088; 653; 81; 93592; 4
2; r; 895514; 1088; 900; 88; 95513; 7
2; r; 898076; 1088; 223; 60; 98075; 10
2; r; 902559; 1088; 192; 59; 102558; 16
2; r; 903199; 1088; 449; 70; 103198; 5
2; r; 905121; 1088; 55; 52; 105120; 15
2; r; 910243; 1088; 501; 73; 110242; 11
2; r; 914086; 1088; 548; 76; 114085; 10
2; r; 917928; 1088; 448; 69; 117927; 7
2; r; 924972; 1088; 737; 84; 124971; 8
2; r; 928174; 1088; 770; 85; 128173; 9
2; r; 930736; 1088; 1031; 95; 130735; 11
2; r; 932657; 1088; 399; 66; 132656; 10
2; r; 936499; 1088; 23; 50; 136498; 11
2; r; 945465; 1088; 254; 61; 145464; 7
2; r; 951871; 1088; 319; 63; 151870; 9
2; r; 965967; 1088; 432; 68; 165966; 19
2; r; 976861; 1088; 568; 77; 176860; 11
2; r; 1414136; 1088; 37; 51; 614135; 21
2; r; 1421824; 1088; 360; 65; 621823; 17
2; r; 1425027; 1088; 454; 71; 625026; 15
2; r; 1431433; 1088; 121; 54; 631432; 18
2; r; 1436559; 1088; 1060; 96; 636558; 34
2; r; 1437200; 1088; 1064; 97; 637199; 21
3; r; 8322; 1088; 388; 15; 8321; 6
3; r; 8963; 1088; 1052; 55; 8962; 1
3; r; 26886; 1088; 685; 30; 26885; 4
3; r; 463594; 1088; 605; 25; 463593; 6
3; r; 473206; 1088; 707; 31; 473205; 8
3; r; 475127; 1088; 378; 14; 475126; 11
3; r; 488580; 1088; 267; 11; 488579; 9
3; r; 494988; 1088; 455; 18; 494987; 9
3; r; 528304; 1088; 929; 44; 528303; 9
3; r; 535991; 1088; 601; 24; 535990; 12
3; r; 557130; 1088; 958; 46; 557129; 14
3; r; 558411; 1088; 841; 38; 558410; 15
3; r; 570580; 1088; 439; 17; 570579; 19
3; r; 576985; 1088; 657; 29; 576984; 8
3; r; 586593; 1088; 1006; 50; 586592; 9
3; r; 587874; 1088; 289; 12; 587873; 18
3; r; 598762; 1088; 257; 10; 598761; 20
3; r; 605167; 1088; 143; 7; 605166; 12
3; r; 616057; 1088; 126; 5; 616056; 18
3; r; 616698; 1088; 1046; 54; 616697; 21
3; r; 632711; 1088; 855; 41; 632710; 22
3; r; 633992; 1088; 38; 0; 633991; 21
3; r; 635273; 1088; 79; 3; 635272; 21
3; r; 635914; 1088; 898; 43; 635913; 25
3; r; 638476; 1088; 100; 4; 638475; 20
3; r; 639116; 1088; 847; 40; 639115; 15
3; r; 642321; 1088; 994; 49; 642320; 21
3; r; 657695; 1088; 1043; 53; 657694; 24
3; r; 672430; 1088; 817; 37; 672429; 14
3; r; 676915; 1088; 759; 35; 676914; 20
3; r; 688450; 1088; 318; 13; 688449; 19
3; r; 710238; 1088; 844; 39; 710237; 13
3; r; 817881; 1088; 366; 76; 17880; 8
3; r; 820442; 1088; 315; 73; 20441; 8
3; r; 1257645; 1088; 446; 80; 457644; 9
3; r; 1262142; 1088; 709; 100; 462141; 11
3; r; 1324993; 1088; 173; 62; 524992; 16
3; r; 1342291; 1088; 500; 82; 542290; 12
3; r; 1344853; 1088; 209; 65; 544852; 19
3; r; 1349978; 1088; 642; 93; 549977; 6
3; r; 1378163; 1088; 212; 66; 578162; 19
3; r; 1383288; 1088; 185; 63; 583287; 18
3; r; 1387771; 1088; 950; 110; 587770; 22
3; r; 1396097; 1088; 1035; 116; 596096; 25
