iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 11154; 1088; 292; 3; 4922; 5
0; r; 20136; 1088; 818; 11; 8349; 3
0; r; 22061; 1088; 937; 9; 10425; 5
0; r; 31043; 1088; 426; 10; 19333; 5
0; r; 34250; 1088; 669; 1; 29911; 6
0; r; 40666; 1088; 591; 16; 25932; 4
0; r; 45794; 1088; 986; 39; 512; 1
0; r; 68232; 1088; 586; 41; 20769; 4
0; r; 72724; 1088; 820; 13; 60078; 3
0; r; 75930; 1088; 721; 35; 38217; 3
0; r; 81062; 1088; 943; 6; 71464; 3
0; r; 82986; 1088; 463; 18; 67632; 9
0; r; 95807; 1088; 155; 5; 86382; 8
0; r; 98372; 1088; 934; 17; 83517; 8
0; r; 99654; 1088; 939; 8; 89411; 4
0; r; 111198; 1088; 762; 15; 97871; 10
0; r; 114408; 1088; 978; 25; 82130; 5
0; r; 123382; 1088; 157; 42; 75798; 7
0; r; 132993; 1088; 714; 2; 128451; 4
0; r; 144535; 1088; 414; 26; 112229; 6
0; r; 145176; 1088; 365; 12; 133082; 10
0; r; 147745; 1088; 158; 22; 127408; 8
0; r; 149027; 1088; 802; 44; 101027; 8
0; r; 156082; 1088; 628; 23; 135418; 9
0; r; 161866; 1088; 85; 24; 132562; 10
0; r; 167643; 1088; 248; 38; 123333; 9
0; r; 169567; 1088; 331; 28; 135757; 9
0; r; 170212; 1088; 780; 34; 133787; 4
0; r; 176629; 1088; 355; 43; 128844; 7
0; r; 177271; 1088; 999; 19; 160515; 7
0; r; 180485; 1088; 719; 40; 134889; 3
0; r; 190789; 1088; 150; 32; 156030; 9
0; r; 192718; 1088; 771; 37; 151387; 6
0; r; 196595; 1088; 486; 30; 162384; 5
0; r; 197238; 1088; 201; 31; 162969; 13
0; r; 804996; 1088; 770; 47; 4591; 5
0; r; 822334; 1088; 968; 55; 18679; 5
0; r; 837723; 1088; 114; 67; 20396; 9
0; r; 844134; 1088; 105; 49; 42309; 10
0; r; 846700; 1088; 828; 58; 38891; 8
0; r; 860803; 1088; 795; 88; 21393; 7
0; r; 862084; 1088; 460; 74; 37513; 6
0; r; 871057; 1088; 788; 92; 27108; 3
0; r; 874903; 1088; 624; 91; 31357; 3
0; r; 887083; 1088; 768; 52; 84262; 7
0; r; 887724; 1088; 77; 48; 86661; 12
0; r; 891570; 1088; 811; 79; 60285; 3
0; r; 904394; 1088; 790; 94; 57381; 3
0; r; 905035; 1088; 90; 70; 83976; 8
0; r; 922349; 1088; 323; 63; 108847; 7
0; r; 924912; 1088; 976; 62; 111916; 5
0; r; 931966; 1088; 744; 81; 96387; 4
0; r; 933890; 1088; 734; 80; 98876; 8
0; r; 935813; 1088; 36; 57; 130313; 12
0; r; 944144; 1088; 170; 59; 135647; 10
0; r; 947353; 1088; 412; 61; 134802; 8
0; r; 953121; 1088; 9; 84; 116719; 10
0; r; 955687; 1088; 157; 95; 108103; 8
0; r; 977491; 1088; 415; 73; 154346; 8
0; r; 978133; 1088; 35; 86; 139137; 11
0; r; 981979; 1088; 148; 76; 154475; 9
0; r; 987112; 1088; 642; 66; 171785; 5
0; r; 997386; 1088; 200; 75; 171494; 14
0; r; 1002520; 1088; 901; 69; 182982; 6
0; r; 1010224; 1088; 604; 90; 167839; 6
0; r; 1010867; 1088; 208; 85; 173474; 12
0; r; 1021144; 1088; 863; 78; 190724; 9
0; r; 1022439; 1088; 411; 60; 211681; 7
0; r; 1026298; 1088; 176; 89; 186849; 10
0; r; 1034703; 1088; 402; 87; 195297; 12
1; r; 2; 1088; 952; 38; 1; 1
1; r; 18612; 1088; 1055; 40; 18611; 1
1; r; 19253; 1088; 784; 32; 19252; 3
1; r; 26307; 1088; 638; 28; 26306; 7
1; r; 32721; 1088; 349; 14; 32720; 7
1; r; 39772; 1088; 790; 33; 39771; 4
1; r; 44900; 1088; 198; 7; 44899; 11
1; r; 47463; 1088; 362; 15; 47462; 5
1; r; 48745; 1088; 313; 12; 48744; 8
1; r; 49386; 1088; 912; 37; 49385; 3
1; r; 61567; 1088; 858; 36; 61566; 8
1; r; 62849; 1088; 462; 20; 62848; 10
1; r; 73109; 1088; 676; 31; 73108; 5
1; r; 76316; 1088; 93; 2; 76315; 7
1; r; 77598; 1088; 306; 11; 77597; 10
1; r; 87213; 1088; 819; 35; 87212; 3
1; r; 94903; 1088; 92; 1; 94902; 7
1; r; 95544; 1088; 587; 26; 95543; 4
1; r; 97467; 1088; 282; 10; 97466; 7
1; r; 107083; 1088; 551; 24; 107082; 6
1; r; 114135; 1088; 88; 0; 114134; 7
1; r; 122477; 1088; 151; 4; 122476; 8
1; r; 126324; 1088; 168; 6; 126323; 12
1; r; 127607; 1088; 164; 5; 127606; 8
1; r; 129534; 1088; 667; 30; 129533; 7
1; r; 134665; 1088; 113; 3; 134664; 10
1; r; 145571; 1088; 383; 16; 145570; 6
1; r; 155840; 1088; 444; 19; 155839; 8
1; r; 164829; 1088; 224; 9; 164828; 7
1; r; 165470; 1088; 528; 21; 165469; 11
1; r; 177036; 1088; 342; 13; 177035; 8
1; r; 810264; 1088; 1079; 105; 10263; 2
1; r; 812829; 1088; 946; 98; 12828; 4
1; r; 822453; 1088; 1084; 107; 22452; 1
