iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 27713; 1088; 229; 0; 19929; 7
0; r; 41813; 1088; 331; 1; 33771; 10
0; r; 70666; 1088; 163; 4; 31930; 9
0; r; 80918; 1088; 529; 5; 36951; 16
0; r; 96297; 1088; 733; 7; 45135; 6
0; r; 100779; 1088; 750; 2; 87117; 5
0; r; 112316; 1088; 107; 8; 60016; 10
0; r; 128338; 1088; 861; 6; 81100; 10
0; r; 129619; 1088; 939; 18; 20614; 7
0; r; 130900; 1088; 603; 12; 49371; 8
0; r; 155250; 1088; 593; 15; 64855; 4
0; r; 171908; 1088; 1015; 26; 7403; 2
0; r; 183446; 1088; 374; 19; 69333; 7
0; r; 185370; 1088; 425; 17; 84732; 5
0; r; 200110; 1088; 1038; 10; 134873; 5
0; r; 208443; 1088; 19; 23; 68570; 10
0; r; 212930; 1088; 115; 16; 114703; 8
0; r; 226388; 1088; 735; 24; 84242; 6
0; r; 227669; 1088; 103; 13; 142927; 12
0; r; 250747; 1088; 715; 29; 50475; 5
0; r; 254591; 1088; 388; 27; 70501; 8
0; r; 274470; 1088; 352; 20; 155724; 6
0; r; 298840; 1088; 141; 25; 148656; 10
0; r; 723649; 1088; 936; 46; 106087; 5
0; r; 728776; 1088; 490; 43; 130084; 6
0; r; 730057; 1088; 785; 50; 72452; 4
0; r; 733262; 1088; 925; 36; 235407; 12
0; r; 737106; 1088; 498; 35; 250901; 14
0; r; 739669; 1088; 122; 47; 116891; 9
0; r; 742232; 1088; 164; 22; 602442; 11
0; r; 744795; 1088; 40; 14; 657671; 13
0; r; 746077; 1088; 767; 39; 198829; 9
0; r; 754408; 1088; 1074; 38; 211975; 8
0; r; 758894; 1088; 225; 51; 96429; 7
0; r; 760176; 1088; 255; 45; 144907; 9
0; r; 767864; 1088; 22; 30; 541700; 10
0; r; 769145; 1088; 808; 33; 299142; 13
0; r; 769786; 1088; 174; 40; 221065; 10
0; r; 775552; 1088; 932; 55; 81069; 6
0; r; 784522; 1088; 804; 49; 127790; 6
0; r; 785804; 1088; 776; 3; 754609; 18
