iter; type; time slot; d_nodes; s_nodes; pid; nslot; nhop
0; r; 5749; 624; 288; 0; 3871; 7
0; r; 18571; 624; 558; 1; 16377; 5
0; r; 20494; 624; 101; 4; 13749; 11
0; r; 21775; 624; 564; 7; 13748; 4
0; r; 23056; 624; 374; 6; 15539; 3
0; r; 26260; 624; 546; 20; 2547; 1
0; r; 433786; 624; 389; 31; 2585; 4
0; r; 446102; 624; 404; 27; 416421; 10
0; r; 809876; 624; 594; 35; 5541; 2
0; r; 811159; 624; 482; 32; 10933; 7
0; r; 1233809; 624; 316; 34; 429711; 6
0; r; 1279777; 624; 287; 55; 455143; 8
0; r; 1290076; 624; 40; 43; 420177; 10
0; r; 1307340; 624; 137; 49; 485194; 10
0; r; 1309280; 624; 47; 41; 498664; 10
1; r; 5128; 624; 437; 19; 5127; 4
1; r; 8330; 624; 287; 14; 8329; 8
1; r; 12814; 624; 316; 16; 12813; 5
1; r; 18578; 624; 440; 20; 18577; 6
1; r; 19859; 624; 567; 25; 19858; 2
1; r; 23061; 624; 480; 22; 23060; 7
1; r; 29467; 624; 81; 2; 29466; 12
1; r; 35871; 624; 273; 13; 35870; 5
1; r; 49322; 624; 242; 10; 49321; 6
1; r; 50604; 624; 214; 8; 50603; 7
1; r; 51244; 624; 250; 11; 51243; 11
1; r; 55730; 624; 268; 12; 55729; 7
1; r; 60854; 624; 165; 7; 60853; 8
1; r; 64057; 624; 230; 9; 64056; 9
1; r; 67261; 624; 67; 1; 67260; 8
1; r; 69185; 624; 45; 0; 69184; 9
1; r; 69826; 624; 537; 24; 69825; 6
1; r; 73030; 624; 141; 4; 73029; 8
1; r; 78157; 624; 101; 3; 78156; 12
1; r; 78797; 624; 152; 6; 78796; 12
1; r; 79438; 624; 526; 23; 79437; 10
1; r; 83283; 624; 459; 21; 83282; 9
1; r; 91620; 624; 148; 5; 91619; 9
1; r; 804488; 624; 434; 17; 406156; 6
1; r; 814095; 624; 332; 40; 14094; 6
1; r; 821781; 624; 288; 37; 21780; 7
1; r; 823062; 624; 204; 33; 23061; 9
1; r; 824983; 624; 453; 43; 24982; 8
1; r; 827545; 624; 4; 27; 27544; 9
1; r; 833309; 624; 499; 44; 33308; 2
1; r; 835230; 624; 429; 42; 35229; 9
1; r; 851885; 624; 500; 45; 51884; 8
1; r; 853166; 624; 15; 28; 53165; 10
1; r; 856369; 624; 173; 31; 56368; 7
1; r; 857010; 624; 296; 38; 57009; 4
1; r; 865338; 624; 183; 32; 65337; 8
1; r; 866620; 624; 605; 47; 66619; 9
1; r; 867263; 624; 270; 36; 67262; 7
1; r; 868546; 624; 425; 41; 68545; 10
1; r; 882011; 624; 43; 29; 82010; 10
1; r; 883299; 624; 55; 30; 83298; 13
1; r; 885225; 624; 224; 35; 85224; 7
2; r; 2; 624; 596; 25; 1; 1
2; r; 6408; 624; 518; 19; 6407; 2
2; r; 7049; 624; 571; 22; 7048; 1
2; r; 16016; 624; 248; 12; 16015; 6
2; r; 17296; 624; 156; 5; 17295; 10
2; r; 19859; 624; 314; 13; 19858; 7
2; r; 24342; 624; 585; 23; 24341; 7
2; r; 26263; 624; 493; 18; 26262; 3
2; r; 30746; 624; 366; 14; 30745; 6
2; r; 37151; 624; 401; 15; 37150; 8
2; r; 40354; 624; 245; 11; 40353; 7
2; r; 42918; 624; 207; 8; 42917; 11
2; r; 45480; 624; 65; 1; 45479; 10
2; r; 46761; 624; 238; 10; 46760; 7
2; r; 48043; 624; 459; 16; 48042; 6
2; r; 53168; 624; 162; 6; 53167; 8
2; r; 69829; 624; 554; 21; 69828; 10
2; r; 70470; 624; 148; 4; 70469; 9
2; r; 74957; 624; 83; 2; 74956; 11
2; r; 810889; 624; 517; 45; 10888; 4
2; r; 816012; 624; 178; 7; 426071; 12
2; r; 818574; 624; 499; 43; 18573; 2
2; r; 823699; 624; 454; 40; 23698; 7
2; r; 826264; 624; 353; 37; 26263; 8
2; r; 827545; 624; 464; 41; 27544; 4
2; r; 832669; 624; 233; 32; 32668; 7
